TC Values: Table 1
TC Name,School,Value
Akori Nirini,Fire,< 1
Ash Bats (1 Pip),Fire,1-2
Ash Bats (2 Pip),Fire,< 1
Ashen Bones,Fire,1
Ashen Bones [WH],Fire,1-2
Blaze Beetle,Fire,< 1
Blazing Phoenix,Fire,< 1
Brimstone Revenant,Fire,< 1
Choke,Fire,< 1
Choke [EOB],Fire,6-9
Double Quench,Fire,1-2
Efreet,Fire,< 1
Ember Everburn,Fire,< 1
Fiery Colossus,Fire,< 1
Fiery Giant,Fire,10-15
Fire Bats,Fire,< 1
Fire Beetle,Fire,< 1
Fire Beetle (Gardened),Fire,< 1
Fire Beetle [SKY],Fire,< 1
Fire Cat,Fire,< 1
Fire Cat [FC],Fire,N/A
Fire Dragon,Fire,< 1
Fire Elemental,Fire,< 1
Fire Elemental [FC],Fire,N/A
Fire Elf,Fire,< 1
Fire From Above,Fire,1-2
Fire Prism,Fire,< 1
Fire Serpent,Fire,< 1
Fire Shark,Fire,2-4
Fire Shark [SKY],Fire,2-4
Fire Shield,Fire,< 1
Fire Shield [EOB],Fire,1-2
Fire Trap,Fire,< 1
Fire Trap [EOB],Fire,1-2
Fire Wall,Fire,1
Fire Wyvern,Fire,< 1
Fire Wyvern (270-320),Fire,15-25
Fireblade,Fire,< 1
Firegut,Fire,1-2
Firespear,Fire,< 1
Firezilla,Fire,1-2
Firezilla [SKY],Fire,2-3
Flamesnake,Fire,< 1
Fuel,Fire,< 1
Glacial Shield,Fire,< 1
Harvest Lord,Fire,< 1
Heck Hound,Fire,< 1
Heckhound [EOB],Fire,1
Heckhound [FC],Fire,N/A
Helephant,Fire,< 1
Helephant [EOB],Fire,< 1
Hephaestus,Fire,1-3
Immolate,Fire,< 1
Incinerating Touch,Fire,< 1
Inferno Kraken,Fire,1-2
Inferno Salamander,Fire,< 1
Iron Golem,Fire,< 1
Koto,Fire,< 1
Krampus,Fire,< 1
Krokenkahmen,Fire,< 1
Krokomummy,Fire,< 1
Lava Lord,Fire,2-3
Link,Fire,< 1
Link [EOB],Fire,< 1
Lord of Blazes,Fire,4-8
Magma Colossus,Fire,2-3
Magma Man,Fire,< 1
Mander,Fire,< 1
Mass Fire Prism,Fire,< 1
Mega Tranquilize,Fire,< 1
Meteor Strike,Fire,< 1
Midnighter,Fire,< 1
Mutate Bird (Ice),Fire,< 1
Mutate Bird (Storm),Fire,< 1
Mutate Cat (Ice),Fire,< 1
Mutate Cat (Storm),Fire,< 1
Mutate Elf (Ice),Fire,< 1
Mutate Elf (Storm),Fire,12-18
Mutate Helephant (Ice),Fire,< 1
Mutate Helephant (Storm),Fire,< 1
Mutate Hound (Ice),Fire,< 1
Mutate Hound (Storm),Fire,< 1
Mutate Phoenix (Blue Phoenix),Fire,< 1
Nautilus Unleashed,Fire,10-20
O'Leary Swindler,Fire,< 1
Phoenix,Fire,< 1
Phoenix [EOB],Fire,< 1
Power Link,Fire,< 1
Quench,Fire,< 1
Quench [EOB],Fire,5-10
Raging Bull,Fire,2-3
Raging Kraken,Fire,1-2
Rain of Fire,Fire,< 1
Scald,Fire,< 1
Smoke Screen,Fire,< 1
Steal Charm,Fire,< 1
Sun Serpent,Fire,< 1
Sunbird,Fire,< 1
Sunbird [FC],Fire,N/A
Take Power,Fire,< 1
Take Power [FC],Fire,N/A
Tranquilize,Fire,< 1
Wildfire Treant,Fire,< 1
Wyldfire,Fire,< 1
Wyldfire [EOB],Fire,3-6
Yellow Fire Elf,Fire,< 1
Abominable Weaver,Ice,2
Aiuchi,Ice,< 1
Angry Snowpig,Ice,3-6
Arcticzilla,Ice,2-4
Balefrost,Ice,< 1
Balefrost [EOB],Ice,3-5
Blight Hound,Ice,< 1
Blizzard,Ice,< 1
Blue Phoenix,Ice,< 1
Celestial Intervention,Ice,10-20
Chinook Genie,Ice,25-40
Coldiron,Ice,1-2
Colossus,Ice,< 1
Colossus [EOB],Ice,< 1
Cooldown,Ice,< 1
Crystal Spider,Ice,< 1
Deadly Scratcher,Ice,< 1
Distract,Ice,< 1
Double Melt,Ice,1-2
Draw Health,Ice,< 1
Draw Health [FC],Ice,N/A
Evil Snowman,Ice,< 1
Evil Snowman [FC],Ice,N/A
Freeze,Ice,1-2
Freeze [EOB],Ice,2-5
Frost Beetle,Ice,< 1
Frost Cat,Ice,< 1
Frost Demon,Ice,< 1
Frost Dragon,Ice,20-50
Frost Giant,Ice,< 1
Frostbite,Ice,< 1
Frostfang,Ice,< 1
Frozen Armor,Ice,< 1
Frozen Bats,Ice,< 1
Frozen Kraken,Ice,2-3
Ghost Touch,Ice,< 1
Gibson O'Leary,Ice,< 1
Glacial Wall,Ice,1
Handsome Fomori,Ice,< 1
Ice Armor,Ice,< 1
Ice Armor [EOB],Ice,< 1
Ice Bats,Ice,< 1
Ice Elf,Ice,1
Ice Guardian,Ice,< 1
Ice Guardian [FC],Ice,N/A
Ice Hound,Ice,< 1
Ice Prism,Ice,< 1
Ice Trap,Ice,< 1
Ice Trap [EOB],Ice,1
Ice Wyvern,Ice,< 1
Icebird,Ice,3-6
Iceblade,Ice,< 1
Icespear,Ice,< 1
Icezilla,Ice,< 1
Infected Villager (Illegal),Ice,10000-15000+
Krokhotep,Ice,< 1
Krokhotep [PH],Ice,< 1
Legion Shield,Ice,< 1
Lord of Winter,Ice,< 1
Mass Ice Prism,Ice,< 1
Mega Distract,Ice,< 1
Mega Taunt,Ice,< 1
Melt,Ice,< 1
Melt [EOB],Ice,5-10
Mutate Beetle (Blazing Beetle),Ice,< 1
Mutate Beetle (Rain Beetle),Ice,< 1
Mutate Colossus (Fire),Ice,< 1
Mutate Colossus (Storm),Ice,< 1
Mutate Serpent (Fire),Ice,< 1
Mutate Snowman (to Jolted Snowman),Ice,< 1
Mutate Snowman (to Magma Man),Ice,< 1
Nekhbet,Ice,< 1
Patches O'Leary,Ice,< 1
Polar Swarm,Ice,< 1
Reindeer Knight,Ice,1-3
Skullsplitter,Ice,8-15
Snow Angel,Ice,< 1
Snow Bird,Ice,< 1
Snow Serpent,Ice,< 1
Snow Serpent [FC],Ice,N/A
Snow Shark,Ice,1-2
Snow Shield,Ice,< 1
Snow Shield [EOB],Ice,1-2
Snowball Barrage,Ice,2-3
Steal Ward,Ice,< 1
Steal Ward [EOB],Ice,< 1
Stun Block,Ice,< 1
Suten Sokkwi,Ice,< 1
Tamauji,Ice,< 1
Taunt,Ice,< 1
Tower Shield,Ice,< 1
Tower Shield [EOB],Ice,35-50
Tundra Lord,Ice,3-5
Volcanic Shield,Ice,< 1
Winter Moon,Ice,< 1
Woolly Mammoth,Ice,< 1
Aka Karanahn,Storm,< 1
Catalan,Storm,< 1
Catch of the Day (3 Pip),Storm,N/A
Catch of the Day (5 Pip),Storm,N/A
Clanker,Storm,< 1
Cleanse Charm,Storm,< 1
Cloud Demon,Storm,< 1
Cloud Wall,Storm,1
Darkwind,Storm,< 1
Darkwind [EOB],Storm,3-5
Disarm,Storm,< 1
Dissipate,Storm,< 1
Dissipate [EOB],Storm,5-10
Do Daga,Storm,< 1
Double Dissipate,Storm,1-2
Gearhead,Storm,< 1
Glowbug Squall,Storm,1-3
Hammer of Thor,Storm,30-40
Healing Current,Storm,1
Insane Bolts,Storm,< 1
Jolted Snowman,Storm,< 1
Kettlehead,Storm,< 1
Kraken,Storm,< 1
Kraken [EOB],Storm,< 1
Krokopatra (4 Pip),Storm,< 1
Krokopatra (5 Pip),Storm,1
Krokopatra [PH],Storm,1
Leviathan,Storm,< 1
Lightining Bats [EOB],Storm,< 1
Lightning Bats,Storm,< 1
Lightning Bats [FC],Storm,N/A
Lightning Elf,Storm,12-18
Lightning Strike,Storm,< 1
Lord of the Squall,Storm,2-3
Maelstrom Marid,Storm,15-35
Mass Storm Prism,Storm,< 1
Mega Sooth,Storm,< 1
Monsoon Hound,Storm,40-70
O’Leary Charlatan,Storm,< 1
Oni No Plague,Storm,< 1
Queen Calypso,Storm,3-5
Rain Beetle (0 Pip),Storm,10-30
Rocketstove,Storm,1-3
Rusalka's Wrath,Storm,2
Sap Power,Storm,< 1
Sap Power [EOB],Storm,< 1
Sap Power [FC],Storm,N/A
Sea Krait,Storm,< 1
Soothe,Storm,< 1
Soulsapper,Storm,< 1
Sparking Stormzilla,Storm,< 1
Squall Wyvern,Storm,< 1
Storm Beetle,Storm,2-5
Storm Cat,Storm,< 1
Storm Efreet,Storm,10-20
Storm Hound (Gardened),Storm,1
Storm Hound [FC],Storm,N/A
Storm Hound [MM],Storm,N/A
Storm Hound [PPH],Storm,1
Storm Lord,Storm,< 1
Storm Owl,Storm,< 1
Storm Prism,Storm,< 1
Storm Shark,Storm,< 1
Storm Shield,Storm,< 1
Storm Shield [EOB],Storm,1-2
Storm Trap,Storm,< 1
Storm Trap [EOB],Storm,1
Stormbird (-80% Shield),Storm,1-3
Stormblade,Storm,< 1
Stormspear,Storm,< 1
Stormzilla,Storm,< 1
Stormzilla [EOB],Storm,< 1
Street Sweeper,Storm,< 1
Supercharge,Storm,< 1
Tempest,Storm,< 1
Tempest [EOB],Storm,40-60
Thermic Shield,Storm,< 1
Thunder Snake,Storm,< 1
Thunderbird,Storm,< 1
Triton,Storm,< 1
Triton [EOB],Storm,1-2
Water Elemental,Storm,< 1
Water Elemental [FC],Storm,N/A
Wild Bolt,Storm,< 1
Windstorm,Storm,1-3
Wormguts,Storm,2-5
Yochimo,Storm,< 1
Aftershock,Myth,50-60
Aftershock [SKY],Myth,25-35
Athena Battle Sight,Myth,1-2
Basilisk,Myth,< 1
Blinding Light,Myth,1
Blinding Light [EOB],Myth,3-6
Blood Bat,Myth,< 1
Blood Bat [FC],Myth,N/A
Boreas Ifrit,Myth,2-4
Buff Minion,Myth,< 1
Buff Minion [FC],Myth,N/A
Cat Thug,Myth,< 1
